Year,Region,Value
2010,Asturias,8.5
2011,Asturias,12.1
2012,Asturias,12.1
2013,Asturias,13.3
2014,Asturias,14.3
2015,Asturias,14.6
2016,Asturias,13.4
2017,Asturias,11.6
2018,Asturias,12.17
2019,Asturias,17.32
2020,Asturias,17.63
2021,Asturias,16.94
2022,Asturias,14.81
2023,Asturias,14.95
2010,España,13.47
2011,España,13
2012,España,13.83
2013,España,13.34
2014,España,14.85
2015,España,14.68
2016,España,14.73
2017,España,14.66
2018,España,13.79
2019,España,13.51
2020,España,13.67
2021,España,14.65
2022,España,13.62
2023,España,12.58
