Year,Region,Disability_status,Value
2014,Asturias,,21.3
2015,Asturias,,19.2
2016,Asturias,,17.8
2017,Asturias,,13.9
2018,Asturias,,13.8
2014,Asturias,Persona con discapacidad,32.6
2015,Asturias,Persona con discapacidad,18.6
2016,Asturias,Persona con discapacidad,19.2
2017,Asturias,Persona con discapacidad,19.2
2018,Asturias,Persona con discapacidad,19.7
2014,Asturias,Persona sin discapacidad,20.9
2015,Asturias,Persona sin discapacidad,19.2
2016,Asturias,Persona sin discapacidad,17.7
2017,Asturias,Persona sin discapacidad,13.6
2018,Asturias,Persona sin discapacidad,13.6
2014,España,,24.6
2015,España,,22.2
2016,España,,19.7
2017,España,,17.3
2018,España,,15.4
2019,España,,14.2
2014,España,Persona con discapacidad,32.7
2015,España,Persona con discapacidad,31.0
2016,España,Persona con discapacidad,28.6
2017,España,Persona con discapacidad,26.2
2018,España,Persona con discapacidad,25.2
2019,España,Persona con discapacidad,23.9
2014,España,Persona sin discapacidad,24.3
2015,España,Persona sin discapacidad,21.9
2016,España,Persona sin discapacidad,19.5
2017,España,Persona sin discapacidad,17.1
2018,España,Persona sin discapacidad,15.1
2019,España,Persona sin discapacidad,13.9
